epoch,loss,lr,mae,r2,val_loss,val_mae,val_r2
0,2.898646354675293,0.00016114602,1.3172144889831543,-0.06620233505964279,1.0853796005249023,0.8122010827064514,0.5974696278572083
1,1.612391710281372,0.00016368374,0.9975730180740356,0.40261751413345337,0.8777026534080505,0.7205485701560974,0.6736860871315002
2,1.3140819072723389,0.00016622148,0.9003759622573853,0.5126769542694092,0.8308359384536743,0.6962809562683105,0.6911365389823914
3,1.2105185985565186,0.00016875922,0.8608623147010803,0.5504338145256042,0.8073632121086121,0.6975637674331665,0.6994067430496216
4,1.1405398845672607,0.00017129694,0.8345513343811035,0.577691376209259,0.754710853099823,0.672625720500946,0.7196476459503174
5,1.0922126770019531,0.00017383468,0.8145498633384705,0.5945181250572205,0.7506349086761475,0.6632181406021118,0.7197594046592712
6,1.0306323766708374,0.00017637241,0.7906053066253662,0.617364227771759,0.7207143902778625,0.6582788228988647,0.7312493920326233
7,0.9917848706245422,0.00017891014,0.7768768072128296,0.6322519183158875,0.7082982659339905,0.6422163248062134,0.7361658811569214
8,0.952616810798645,0.00018144787,0.7622864842414856,0.6456743478775024,0.6808720231056213,0.6384711861610413,0.7460914254188538
9,0.9324665665626526,0.00018398561,0.7537088394165039,0.6534335017204285,0.6518966555595398,0.6199758648872375,0.7566631436347961
10,0.9038061499595642,0.00018652334,0.7417407631874084,0.6639658808708191,0.6268090009689331,0.6060910820960999,0.7660925984382629
11,0.8848246932029724,0.00018906107,0.7350431084632874,0.6712338924407959,0.6333693265914917,0.6120598912239075,0.7634619474411011
12,0.8625723719596863,0.00019159881,0.7263000011444092,0.6786642670631409,0.6126817464828491,0.5983377695083618,0.7715389132499695
13,0.8357531428337097,0.00019413653,0.7145885229110718,0.6896927952766418,0.6019085049629211,0.5918766856193542,0.7750841975212097
14,0.8157535195350647,0.00019667427,0.7046778798103333,0.696203887462616,0.5775075554847717,0.5830109119415283,0.7844899892807007
15,0.7992191314697266,0.00019921201,0.6982538104057312,0.7029321193695068,0.584129810333252,0.5847014784812927,0.7818697690963745
16,0.7794917821884155,0.00020174973,0.6903588771820068,0.7101266980171204,0.5830906629562378,0.5842581391334534,0.782464325428009
17,0.7637443542480469,0.00020428747,0.6821633577346802,0.7155531644821167,0.5596255660057068,0.5740534067153931,0.7915062308311462
18,0.7489513158798218,0.0002068252,0.6768662333488464,0.7214983105659485,0.5625052452087402,0.5803446769714355,0.7901325821876526
19,0.7339063286781311,0.00020936293,0.6696603894233704,0.72666335105896,0.5569170117378235,0.5796381831169128,0.7923922538757324
